平台	平台类型	网址	网址类型	客户
开元棋牌	棋牌	00112.vip/kaiyuanqp4/00112.vip/index.html?proxyaccount=271082	链接	阿信
135棋牌	棋牌	00135dl.com?proxyaccount=28189	链接	阿信
135棋牌	棋牌	00135vip.com/135qp/com.135qp.ios/mobile/index.html?sharename=&proxyaccount=28189	链接	阿信
359棋牌	棋牌	08359.com/mobile/index.html?sharename=&proxyaccount=183480	链接	阿信
迅游娱乐	彩票	09ag.net/pc	链接	凤凰白
103棋牌	棋牌	103.vip/?channelcode=yy07&code=zia92mwn8eeg	链接	阿信
103棋牌	棋牌	103.vip?channelcode=yy07&code=zia92mwn8eeg	链接	阿信
优库棋牌	棋牌	1122818.com/?proxyaccount=37594	链接	阿信
优库棋牌	棋牌	1122818.com/?proxyaccount=37594 yk667 .com	链接	阿信
开心棋牌	棋牌	120.24.193.193:8082/proxy/register?urlcode=eyjwcm94ev9pzci6nje0otg1lcj0b2tlbii6ijhjymy3nmm1zjc3ntrlmzawotg3owy2nzy5otiyyzk1iiwiy2hhbm5lbf9pzci6ijcwmdawmsj9&acc_token=01825f37f7f82712eb1b64b2732b6d47&acc_time=1582100032&acc_sign=8e8f186cafae17cf3dd361b73cc62ea6&nsukey=ur5zvaf2bovspuufnbrntwpqxsx8iuctovtkpgi36b6zu8lyeokiulg4cjgklkrnrdhkrrwmwctsfxpgmgljif%2fsuc6qkmloa2oj66dmvm5w45xben7qokfftxbxv1ljxfgwevjkit7fjnbjqttaaoxszmlj4w2g%2fv7n7fcq1upb8%2b%2fsehsnxr6g2fr3ikzufugp7leo3h4bwieglc7jmq%3d%3d	链接	阿信
139精品棋牌	棋牌	129326.cn/7145475	链接	阿信
阿信棋牌17	棋牌	1402222.com/2222/ag/pc.html	链接	阿信
679棋牌	棋牌	156679.com/m.html?sharename=&proxyaccount=647202	链接	阿信
阿信棋牌13	棋牌	16ti.cn/298	链接	阿信
凤凰娱乐棋牌	棋牌	175728.com/?from=spread_121_11949236_3730	链接	阿信
新宝GG	彩票	18.162.128.184:5566/?s=/webpublic/login	链接	凤凰白
188金宝博	彩票	188bet.com/zh-cn	链接	凤凰白
365棋牌	棋牌	2627666.com?proxyaccount=202734	链接	阿信
澳门巴黎人	彩票	28201801.com/?a=50	链接	凤凰白
宝石娱乐	棋牌	2n57l7un.rs2n9.cn/url.php?user=ahr0cdovlzk2mtg4dc5jb20vp2noyw5uzwxjzd0xjmnoyw5uzwxdb2rlptemawq9mjq5nte2oa==	链接	阿信
316棋牌	棋牌	3160002.com?proxyaccount=742062	链接	阿信
316棋牌	棋牌	316316hh.com/index.html?proxyaccount=742062	链接	阿信
亲朋棋牌	棋牌	33108a.com/index.html?rid=1151164&unionid=175.167.146.183&unioncode=158221231747113480	链接	阿信
亲朋棋牌	棋牌	33108a.com/index.html?rid=1151164&unionid=175.167.146.183&unioncode=158230100687456386	链接	阿信
359棋牌	棋牌	359303.com?proxyaccount=183480	链接	阿信
云顶棋牌	棋牌	3sm.com/ed5	链接	阿信
阿信棋牌	棋牌	423sda535.bunengdeng.com/t.php?5ygyuh.css	链接	阿信
4478棋牌	棋牌	4478dl.com?proxyaccount=29476	链接	阿信
开元棋牌	棋牌	4629888.com?proxyaccount=271082	链接	阿信
4478棋牌	棋牌	478xz.com/?proxyaccount=29476	链接	阿信
四四七八棋牌	棋牌	478xz.com/?proxyaccount=29476 484478.com	链接	阿信
祥云娱乐	棋牌	518v666.cn/?uid=6141066&channelcode=2	链接	阿信
389棋牌	棋牌	5389qp4.com/?from_gameid=442438&channelcode=100000	链接	阿信
金牛国际	棋牌	556j6.com/?code=6288327	链接	阿信
高德	彩票	56541261--c1.com/pc/index.html?c=81211504	链接	凤凰白
新博	彩票	56xinbo.com/affiliate/track?affiliateid=25119	链接	凤凰白
大发棋牌	棋牌	5766855.com/?type=4&code=248907	链接	阿信
大富翁	棋牌	5e4d113c19efa.x8kki.com/110vdyd.html?invite_code=38354310	链接	阿信
大富翁	棋牌	5e4d113c19efa.x8kki.com/wxcheck1.html?page=110vdyd&hannel_code=kpto&invite_code=38354310	链接	阿信
大红鹰	棋牌	5e4e628dcce06.dhy2189.com/93975rqys.html?invite_code=59939461	链接	阿信
大红鹰	棋牌	5e4e628dcce06.dhy2189.com/wxcheck1.html?page=93975rqys&hannel_code=qfvgq&invite_code=59939461	链接	阿信
623棋牌	棋牌	623479.com/623qp/com.623qp.ios/index.html?proxyaccount=405641	链接	阿信
623棋牌	棋牌	623749.com?proxyaccount=405641	链接	阿信
679棋牌	棋牌	655679.com?proxyaccount=647202	链接	阿信
008棋牌	棋牌	66008qp.com/?invitecode=6moqwe	链接	阿信
008棋牌	棋牌	66008qp.com?invitecode=6moqwe	链接	阿信
新宝	彩票	666.xbppr.com/index.php?s=/index	链接	凤凰白
鸿运棋牌	棋牌	68601734.cn/?code=6385887	链接	阿信
696棋牌	棋牌	696b.cc/?channelcode=default&code=z54d7vmuru4w	链接	阿信
696棋牌	棋牌	696b.cc?channelcode=default&code=z54d7vmuru4w	链接	阿信
阿信棋牌15	棋牌	6ti.cc/cc2	链接	阿信
073棋牌	棋牌	7073073.com/v3/index.html?code=240984	链接	阿信
太阳2	彩票	777.taiyang006.com/#/login	链接	凤凰白
艾尔棋牌	棋牌	861522.com/?from=spread_79_11941753_2491	链接	阿信
867棋牌	棋牌	8670055.com?proxyaccount=166569	链接	阿信
867棋牌	棋牌	8671177.com/?uri=8671166.com/proxyaccount.php?key=proxyaccount=166569	链接	阿信
千禧棋牌	棋牌	88155f.com/?code=1095053	链接	阿信
千禧棋牌	棋牌	88155j.com/?code=1095053	链接	阿信
百世娱乐	彩票	888.005xj.net/login	链接	凤凰白
彩神棋牌	棋牌	88817799.com/?proxyaccount=779029	链接	阿信
彩神棋牌	棋牌	88837799.com/?proxyaccount=779029	链接	阿信
彩神棋牌	棋牌	88837799.com?proxyaccount=779029	链接	阿信
姚记棋牌	棋牌	88903444.com/?code=0drw8y	链接	阿信
大满贯棋牌	棋牌	89177k.com/?sign=2d6c2a75283ffda8c9d9abd9cbc9a520&fxm=25658291&channel_id=60009	链接	阿信
八戒棋牌	棋牌	8jqp1.cc/?sign=ef9ec949ea26c09a338eda1be7030799&fxm=67873897&channel_id=10000	链接	阿信
八戒棋牌	棋牌	8jqp1.cc?sign=ef9ec949ea26c09a338eda1be7030799&fxm=67873897&channel_id=10000	链接	阿信
906棋牌	棋牌	906088.com?proxyaccount=135259	链接	阿信
906棋牌	棋牌	906998.com/taiyangchengqp3/com.taiyangchengqp3.ios/m/index.html?sharename=&proxyaccount=135259	链接	阿信
91棋牌	棋牌	91078a.com/91qp/com.91qp.ios/m/index.html?sharename=&proxyaccount=190789	链接	阿信
91棋牌	棋牌	91078b.com?proxyaccount=190789	链接	阿信
博天堂娱乐城	彩票	918aak.com/home	链接	凤凰白
923棋牌	棋牌	923qp55.com/v3?agentcode=18504123	链接	阿信
宝石娱乐	棋牌	96188t.com/?channelid=1&channelcode=1&id=2495168	链接	阿信
981棋牌	棋牌	981qpx.com/981/com.981.ios/m/index.html?sharename=&proxyaccount=209987	链接	阿信
阿信棋牌10	棋牌	98sz.cc/9883	链接	阿信
太阳2	彩票	999.taiyang003.com/#/login	链接	凤凰白
新宝6娱乐	彩票	999.xinbao6.info/#/login	链接	凤凰白
黑金棋牌	棋牌	9gg.com/index.html?code=4416185&user_id=5825015	链接	阿信
9棋牌	棋牌	9qpgw.com/?from_gameid=814846	链接	阿信
9棋牌	棋牌	9qpgw.com/?from_gameid=814846&channelcode=100000	链接	阿信
9棋牌	棋牌	9qpgw.com?from_gameid=814846&channelcode=100000	链接	阿信
麒麟娱乐	棋牌	9ystx.com/?pid=473021	链接	阿信
麒麟娱乐	棋牌	9ystx.com?pid=473021	链接	阿信
186棋牌	棋牌	aa186.cc?proxyaccount=592344	链接	阿信
923棋牌	棋牌	aaaahxa.ihbzj.com/v3?agentcode=18504123	链接	阿信
环亚娱乐	彩票	ag88dc22.com/403	链接	凤凰白
精品棋牌	棋牌	aiyunyi1-1251596988.file.myqcloud.com/default.html#4501b0f8710f89bcf855744841a284a5	链接	阿信
至尊娱乐	棋牌	axxkj.com/29/1582128000/001.html?channelcode=001&recommendid=1184256	链接	阿信
百灵棋牌	棋牌	b59789.com/?sign=6e60bd67d2857b3395021368420d60b8	链接	阿信
百灵棋牌	棋牌	b59789.com/?sign=6e60bd67d2857b3395021368420d60b8&fxm=82096018&channel_id=30011	链接	阿信
必威娱乐城	彩票	betway755.com/error/restricted.htm	链接	凤凰白
百家棋牌	棋牌	bj8878.com/m/?proxyaccount=119308&sharename=bj8878.com&proxyaccount=119308	链接	阿信
百家棋牌	棋牌	bj8878.com?proxyaccount=119308	链接	阿信
百灵棋牌	棋牌	blvip.12qsyd.cn/wp-news/wp3h63jsf2/0rcddaees.html?sign=6e60bd67d2857b3395021368420d60b8&fxm=82096018&channel_id=30011	链接	阿信
高登棋牌	彩票	bob102.app/1582202528383?agent_code=17332	链接	凤凰白
BOB体育	彩票	bobvip55.com/app/home/1582097138013	链接	凤凰白
博猫游戏	彩票	bomao88.com/auth/signin	链接	凤凰白
大三元	棋牌	boss5.cc/fwbat.html	链接	阿信
至尊棋牌	棋牌	bswt5.com/29/1582214400/001.html?channelcode=001&recommendid=1184256	链接	阿信
981棋牌	棋牌	c981.cc?proxyaccount=209987	链接	阿信
彩立方娱乐	彩票	cailifang11.com/signin	链接	凤凰白
ManBetX(万博体育)	彩票	cn.3rmxr.com/home/register?code=22876	链接	凤凰白
云顶国际	棋牌	ctxpps.cn/?a=11800000	链接	阿信
云顶国际	棋牌	ctxpps.cn?a=11800000	链接	阿信
163棋牌	棋牌	dahp.rpc696.com/?code=6286583	链接	阿信
大发娱乐城	彩票	dfnba.net/sc/sports	链接	凤凰白
1号棋牌	棋牌	download.01678bb.com/?agentcode=97618530&channelcode=ios	链接	阿信
1号棋牌	棋牌	download.01678bb.com?agentcode=97618530&channelcode=ios	链接	阿信
298棋牌	棋牌	download.298qp1.com/download/v3?agentcode=60674821	链接	阿信
1号棋牌	棋牌	dwz.c8c.cn/z3484	链接	阿信
